Taxon,BasidiosporeType,BasidiosporeShape,BasidiosporeApex,BasidiosporeLength,BasidiosporeWidth,Qvalue,BasidiosporeOrnamentation,BasidiaShape,BasidiaLength,BasidiaWidth,BasidiaSpored,CheilocystidiaPresence,CheilocystidiaShape,CheilocystidiaLength,CheilocystidiaWidth,CheilocystidiaOxalateCrystals,CheilocystidiaWallThickness,CheilocystidiaAmmoniacalTest,ParacystidiaPresence,ParacystidiaShape,ParacystidiaLength,ParacystidiaWidth,PleurocystidiaPresence,PleurocystidiaShape,PleurocystidiaLength,PleurocystidiaWidth,PleurocystidiaOxalateCrystals,PleurocystidiaWallThickness,PleurocystidiaAmmoniacalTest,ApexCaulocystidiaPresence,ApexCaulocystidiaShape,ApexCaulocystidiaLength,ApexCaulocystidiaWidth,ApexCaulocystidiaOxalateCrystals,ApexCaulocystidiaWallThickness,ApexCaulocystidiaAmmoniacalTest,MedianCaulocystidiaPresence,MedianCaulocystidiaShape,MedianCaulocystidiaLength,MedianCaulocystidiaWidth,MedianCaulocystidiaOxalateCrystals,MedianCaulocystidiaWallThickness,MedianCaulocystidiaAmmoniacalTest,Cauloparacystidia,MacroChemical,Habitat,TreesUnder,PileusDiameterX,PileusDiameterY,BaseOfTheStipe,HydrogenPotential,Sosie,Odor,Subgenera,Section,Subsection,DistinctiveFeatures1,ReferencesSources1,DistinctiveFeatures2,ReferencesSources2,DistinctiveFeatures3,ReferencesSources3
chalcodoxantha Grund & D.E. Stuntz,Leiospora,Inequilaterally | Amygdaliform,Obtuse,[7.5-10],[5-6.5],n/a,Smooth,Claviform,[25-33],[9-10],[4-4],Yes,Claviform | Ventricose | Metuloid,[50-72],[13-21],Yes | Sparse,[1-3.3],n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[50-72],[13-21],Yes,[1-3.3],n/a,Yes,Claviform | Metuloid,n/a,n/a,Yes | Sparse,n/a,n/a,Yes,Metuloid,n/a,n/a,Yes | Sparse,n/a,n/a,n/a,n/a,Moss | Needles,Conifers | Hardwoods,[18-25],[18-25],Marginate bulbous,n/a,melleiconica,Spermatic,,,,"This Inocybe resembles I. melleiconica Grund & Stuntz in certain particular (e.g., the conic, silky-smooth pileus, and pale, entirely pruinose stipe), but differs markedly by its lack of a green-corn odor, its thin-walled or moderately thick-walled pleurocystidia and dermatocaulocystidia, and to a lesser extent by its more brightly colored pileus and stipe. It also resembles I. kauffmanii A. H. Smith, but differs from that species in shape, color, and surface of pileus, as well as in having only thin-walled metuloids at the base of the stipe. The description of I. chalcodoxantha has been drawn entirely from the type collection (DG 1817). The Washington specimens (Stz. 3660) are of somewhat smaller stature (stipe 50-70 mm long, 3 mm thick), have only a slight, non-spermatic odor, and have the wall of the pleurocystidia slightly thicker. In all other respects the two collections are identical, which is rather remarkable, considering their temporal and spatial separation of 18 years and 3,000 miles.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes I., Mycologia, vol. 60, 1968; p. 408-409",,,,
cincinnata (Fr.) Quel. (cincinnatula Kuehner),Leiospora,Inequilaterally | Amygdaliform,Conical,[9-11],[5-6.5],n/a,Smooth,Claviform,[27-33],[9-10],[4-4],Yes,Fusoid | Ventricose | Metuloid,[20-45],[10-18],Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Fusoid | Ventricose | Metuloid,[65-90],[10-16.5],Yes,[3.5-4.5],n/a,Yes,Superficial hyphae,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Pine | Hemlock,[15-30],[15-30],Equal,n/a,n/a,n/a,,,,"As far as we know, this is the first report of Inocybe cincinnatula Kuehn. From North America. The name is still not validly published, no Latin description having been furnished either at the time of its first use (Kuehner, and Romagnesi. 1953. Flora analytique des champignons superieurs. Masson et Cie., Paris; p. 228) or in the publication cited above. The Nova Scotian specimens are somewhat discolored, the fibrils on the lower half of the stipe being paler brown than is usual for the species, and the violaceous color of the stipe having faded markedly. Both of these deviations could be the result of very dry weather conditions. In other respects (dark brown fibrillose pileus, long, thick-walled, pale yellow cystidia, and especially the dark brown inflated cells, of the lamellar edge) the collections correspond well to Kuehner 's description (loc. cit.).","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes I., Mycologia, vol. 60, 1968; p. 409-410 (cincinnatula)",,,,
coelestium Kuyper,Leiospora,Subamygdaliform,Subconical,[7-9.5],[5-6.5],[1.3-1.6],Smooth,Claviform,[25-32],[8-10],[4-4],Yes,Cylindrical | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Metuloid,[29-65],[10-18],Yes,[2-2.5],n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Spruce | Beech,[15-32],[15-32],Subbulbous,n/a,n/a,Peruvian balsam,Inocybe,,,n/a,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; 82 p.",,,,
cookei var. cookei Bres.,Leiospora,Phaseoliform,Obtuse,[7-9],[4-5.5],[1.4-1.9],Smooth,Claviform,[22-32],[7-9],[4-4],Yes,Claviform | Pyriform,[22-42],[11-22],No,[0.5-1.5],n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Claviform | Pyriform,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Beech | Oak | Chestnut | Hazel | Spruce,[16-65],[16-65],Marginate bulbous,n/a,mixtilis,Honey,Inosperma,Rimosae,,"Judging from the description Inocybe armoricana R. Heim (Genre Inocybe : 195. 1931) comes very close but differs in possessing an equal stipe without marginate bulb. The colour of the pileus was described as dark ochraceous. It seems possible that such collections indicate that both varieties recognised above cannot be separated unambiguously. As I have not seen specimens conforming to Heim's protologue, I refrain from giving a definite opinion on this taxon. 1) Althrough type-material of both I. cookei and I. fastigiata var microsperma is lacking, I consider  these names as mere synonyms, as I have not been able to discern any important discrepancies in their protologues. 2) As already noted on p. 5, pileal shape is phenotypically very variable ; specimens growing on sunny places have a rather rigid velipellis which persists in older specimens, and lack an umbo, whereas other specimens, apparently from the same mycelium and growing in shade, are distinctly umbonate and do not possess a velipellis in older specimens. This should be a warning against overrating the importance of velar characters as specific criterion.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; 49-51 p.",,,,
cookei var. kuthanii (Stangl & J. Veselsky) Kuyper,Leiospora,Subphaseoliform,Obtuse,[7-9],[4-5.5],[1.5-1.8],Smooth,Claviform,[22-33],[7-10],[4-4],Yes,Claviform | Pyriform,[23-45],[11-18],No,[0.5-1.5],n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Claviform | Pyriform,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Oak | Beech | Hornbeam,[15-35],[15-35],Subbulbous | Marginate bulbous,n/a,n/a,Farinaceous,Inosperma,Rimosae,,"Stangl & Veselsky (in Ceska Mykol. 33 : 134-137. 1979) asserted that I. kuthanii was an independant species, differing from I. cookei not only in colours of pileus ans stipe, but also in its cheilocystidia and habitat. However, none of these characters, except colour of the pileus, were found by me to be constant. For that reason I regard I. kuthanii as a variety of I. cookei, but more material might eventually show that var. kuthanii does not deserve an autonomous status.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; 51 p.",,,,
corydalina var. corydalina Quel.,Leiospora,Subamygdaliform,Obtuse | Conical,[7-9.5],[5-6],[1.4-1.8],Smooth,Claviform,[26-35],[7-10],[2-4],Yes,Cylindrical | Claviform | Subutriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Claviform | Subutriform | Metuloid,[33-67],[9-21],Yes,[1.5-2],n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Beech | Oak | Spruce | Blue-beech,[23-90],[23-90],Subbulbous | Bulbous,n/a,n/a,Disagreeable component,Inocybe,,,"These taxa are regarded here as mere varieties of one species on account of their identical microscopical characters and the common occurrence of psilocybin and baeocystin (cf. Stijve & al. In Persoonia 12 : 470. 1985). I have seen at least one collection of var. erinaceomorpha with some greenish tinges in the pileus and at the base of the stipe, and for that reason I consider it not unlikely that even the rank of variety is an overestimation of its taxonomic independence.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 82-84",,,,
corydalina var. erinaceomorpha (Stangl & J. Veselsky) Kuyper,Leiospora,Subamygdaliform,Subconical,[7-10.5],[5-6],[1.4-1.7],Smooth,Claviform,[27-34],[8-10],[4-4],Yes,Cylindrical | Fusiform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Fusiform | Metuloid,[36-70],[10-18],Yes,[1-2],n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Beech | Oak | Spruce | Blue-beech,[38-52],[38-52],Subbulbous,n/a,n/a,Faint | Peruvian balsam,Inocybe,,,"These taxa are regarded here as mere varieties of one species on account of their identical microscopical characters and the common occurrence of psilocybin and baeocystin (cf. Stijve & al. In Persoonia 12 : 470. 1985). I have seen at least one collection of var. erinaceomorpha with some greenish tinges in the pileus and at the base of the stipe, and for that reason I consider it not unlikely that even the rank of variety is an overestimation of its taxonomic independence.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 84-85",,,,
cryptocystis D.E. Stuntz,Leiospora,Subamygdaliform,Subconical,[7.5-9.5],[4.5-6],[1.4-1.8],Smooth,Claviform,[22-26],[7-8],[4-4],Yes,Cylindrical | Claviform | Metuloid,n/a,n/a,Yes | Sparse,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Claviform | Subclaviform | Metuloid,[25-42],[8-15],Yes,[1-1.5],n/a,Yes,Cylindrical | Claviform | Subclaviform | Metuloid,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Frondose,Oak | Beech,[20-40],[20-40],Napiform bulbous | Submarginate bulbous,n/a,n/a,Subspermatic,Inocybe,,,The macroscopical description of this species has been copied from Stangl & Glowinski (in Z. Mykol. 46 : 170. 1980). These authors asserted that their species was different from I. cryptocystis but they did not state any specific differences. After a comparison of the macroscopical decriptions and my own type-studies I regard these species as synonyms as I was unable to detect any relevant differences.,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; 144 p.",n/a,"Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VII., Mycologia, vol. 75, 1983; p. 259",,
decipientoides Peck,Goniospora,Oblong,Conical | Subconical,[10-12.5],[6-8],n/a,Nodules not projecting prominently,Claviform,[27-33],[9-11],[4-4],Yes,Ventricose | Claviform | Pedicellate | Metuloid,[16-20],[12-12],Yes,[1-1.5],n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Pedicellate | Metuloid,[40-52],[16-20],Yes,[1-2],n/a,Yes,Claviform | Metuloid,[90-100],n/a,Yes,[1-1.3],n/a,No,Cystidioid terminal ,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil | Needles,Spruce,[10-25],[10-25],Equal,n/a,n/a,Spermatic,Clypeus,,,n/a,"Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes I., Mycologia, vol. 60, 1968; p. 411-412",,,,
"ericetorum Vauras & Kokkonen, sp. nov.",Goniospora,Angular | Nodulose,Subconical | Conical,[7.5-10.6],[5.4-7.2],[1.2-1.7],"With a few obtuse, medium-sized to large nodules",Claviform,[22-40],[8-11],[4-4],Yes,Fusiform | Metuloid,n/a,n/a,Yes | No,n/a,n/a,Yes,Claviform | Pyriform,n/a,n/a,Yes,Fusiform | Metuloid,[45-81],[10-22],Yes,[1-2],n/a,Yes,Fusiform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,Yes,n/a,Sandy soil,Pine | Birch,[9-20],[9-20],Equal | Subbulbous,n/a,n/a,Not distinctive | Weakly acidulous,Clypeus,,,"Inocybe ericetorum is a small species characterised by fairly dark colours, pileus with rimulose margin and often velipellis around centre, distinctive spore shape, pleurocystidia often with remarkably abundant crystals, and its habitat on sandy soils. Inocybe purpureobadia is also a small, dark species found on sand, but its pileus margin is not rimulose, its spores are only weakly angular or with few low nodules and have a larger average Q value. This species prefers more calcareous soils. Inocybe ericetorum also resembles somewhat I. assimilata (Britzelm.) Sacc., a more southern species. It has not been found in Finland, but is common in forests, for example, with Fagus sylvatica in the temperate zone of southern Sweden and Denmark (own observations, J.V.), and in the spruce forests of Germany (Gminder 2010). It is a slightly larger species with a bulbous stipe base and different microscopic characters. Inocybe giacomi may grow in similar habitats to I. ericetorum. The former is larger, and with larger spores and cystidia.","Kokkonen, Katri; Vauras, Jukka. Eleven new boreal species of Inocybe with nodulose spores, Mycol Progress (2012) 11:299-341; p. 332-334",,,,
erubescens A. Blytt,Leiospora,Subphaseoliform,Obtuse,[9.5-15],[5.5-8],[1.5-2.2],Smooth,Claviform,[31-46],[11-14],[2-4],Yes,Cylindrical | Claviform | Flexuose,[37-70],[8-16],No,[0.5-1.5],n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindrical | Claviform | Flexuose,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Beech | Oak | Pine | Basswood,[17-70],[17-70],Bulbous,n/a,n/a,Soap | Disagreable,Inosperma,Rimosae,,"1) The name Inocybe erubescens, which was published on 3 May 1905, has priority over the name I. patouillardii which was published on 10 may of the same years. 2) This species contains great quantities of muscarin, and is therefore very toxic. 3) Distribution maps of I. erubescens have been published by Krieglsteiner (in Z. Mykol. 45 : 95. 1979, for the Federal Republic of Germany), Kreisel & al. (in Hercynia 17 : 243. 1980, for the German Democratic Republic), and Heinemann & Thoen (Distr. Fung. Belg. Lux. I : 60. 1981, for Belgium and Luxemburg).","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; 44-45 p.",,,,
erythospilota Grund & D.E. Stuntz,Leiospora,Inequilaterally | Amygdaliform,Conical | Subconical,[7-10],[5-6],n/a,Smooth,Claviform | Subcylindric,[25-28],[6-8],[4-4],Yes,Ventricose | Metuloid,[45-50],[14-20],Yes | Sparse | No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[50-90],[15-20],Sparse | No,n/a,n/a,Yes,Cylindric | Subventricose | Metuloid,[50-85],[9-11],Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Swamp,Spruce,[15-30],[15-30],Truncate,n/a,n/a,Spermatic,,,,"Inocybe erythospilota is characterized by the red-staining sheath on the stipe that is evident in dried material, absence of dermatocaulocystidia at base of stipe, thich-walled pleurocystidia and smooth amygdaliform spores. Microscopically, it most closely resembles I. cinnamomea A. H. Smith, but lacks the orange-cinnamon color of the pileus and stipe of the latter species. Inocybe monochroa Favre and I. canescens Favre resemble I. erythospilota except both lack the caracteristic red staining and I. monochroa has an obviously fibrillose stipe while I. canescens hsa a glabrous, straw-colored stem. Microscopically, both I. monochroa and I. canescens are similar to this new species.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VIII., Mycologia, vol. 76(4), 1984; p. 735-737",,,,
fastigiata (Schaeff.) Quel.,Leiospora,Subreniform | Ellipsoidal,Obtuse | Conical | Subconical,[9-14],[5-8],n/a,Smooth,Obpyriform | Inflated apex and narrow,[24-38],[9-13],[4-4],Yes,Cylindrical | Claviform,[45-65],[8-15],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindrical | Claviform | Septate,[45-115],[8-13],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Moss | Ground,Conifers | Hardwoods,[20-45],[20-45],Not bulbous,n/a,n/a,Not distinctive,,,,"We have known this Inocybe for several years from widely different localities in North America, but up to recently could find no description that corresponded to our specimens. Malencon's (Malencon, G., and Berthault, R. 1970. Flore des champignons superieurs du Maroc. Tome I. Rabat, Morocco. 601 p.) brief account of this taxon seems, however, to fit our fungus satisfactorily. A more complete description than is afforded by the protolog, and especially some illustrations, would have been helpful, but such data as are furnished apply satisfactorily to our collections.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VI., Mycologia, vol. 73, 1981; p. 662-664",,,,
flavella var. flavella P. Karst.,Leiospora,Subphaseoliform,Obtuse,[8-12],[4.5-6],[1.6-2.3],Smooth,Claviform,[28-42],[9-13],[4-4],Yes,Cylindrical,[26-67],[8-14],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindrical,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Beech | Spruce | Hazel | Poplar,[22-50],[22-50],n/a,n/a,n/a,Not distinctive,Inosperma,Rimosae,,n/a,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; 53-55 p.",,,,
flavella var. roseipes (Bon) Kuyper,Leiospora,Subphaseoliform,Obtuse,[8.5-11],[4.5-6],[1.6-2.2],Smooth,Claviform,[29-36],[9-10],[4-4],Yes,Cylindrical,[40-75],[8-14],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindrical,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Willow,[10-30],[10-30],n/a,n/a,n/a,Not distinctive,Inosperma,Rimosae,,n/a,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; 55 p.",,,,
"flavobrunnescens Esteve-Rav., G. Moreno & Bizio",Goniospora,Isodiametric,Conical,[8.9-12.5],[7.2-9.5],[1.1-1.4],With a low nodulose profile | 3 to 12 low and obtuse knobs,Claviform,[27-35],[9-12],[4-4],Yes,Lageniform | Sublageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Lageniform | Sublageniform | Metuloid,[50-85],[12-24],Yes,[0.8-2],n/a,Yes,Lageniform | Claviform,n/a,n/a,Yes,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Oak | Hardwoods,[15-35],[15-35],Bulbous,n/a,xanthomelas,Herbaceous | Not distinctive,Clypeus,,,See article.,"Fernando Esteve-Raventos; Gabriel Moreno ; Enrico Bizio ; Pablo Alvarado. Inocybe flavobrunnescens, a new species in section Marginatae, Mycol Progress (2015) 14:14",,,,
flocculosa var. crocifolia (Herink) Kuyper,Leiospora,Subamygdaliform,Subconical,[8-12],[4.5-6.5],[1.6-2.1],Smooth,Claviform,[23-33],[7-10],[4-4],Yes,Sublageniform | Fusiform | Cylindrical,n/a,n/a,Yes | No,n/a,n/a,Yes,Claviform | Pyriform,n/a,n/a,Yes,Sublageniform | Fusiform | Cylindrical,[51-90],[13-26],Yes,[1-2],n/a,Yes,Sublageniform | Fusiform | Cylindrical,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Frondose | Conifers,[12-42],[12-42],Not bulbous,n/a,n/a,Subspermatic,Inocybe,,,"The arrow was introduced by Kuyper & Vuure (in Persoonia 12: 448. 1985) in order to bring Art. 72. Note 1 of the I.C.B.N. in concurrence with Art. 46. 2) Although these varieties look strikingly different in their macroscopical characters, they are almost cpmpletely identical under the microscope. As there is only one character difference between these three taxa, they are given here the rank of variety. The holotypus of I. pluteoides Hoehn. (Austria, Niederoesterreich, Wienerwald, Pressbaum, 17.X.1906, FH) represents an albino variant of this species. As explained on p. 9, I do not want to confer taxanomic value upon these albinistic variants. This albino variant has also been found in the Netherlands (Ijsselmeerpolders, Oost-Flevoland, Revebos, 6.X.1981, C. Bas 7800). Both var. flocculosa and var. crocifolia were found at this locality.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 160",1) Forms growings under frondose trees generally possess somewhat longer and more slender spores. It is doubtful whether this difference is taxonomically relevant. 2) Einhellinger (in Ber. Bayer. Bot. Ges. 52 : 195. 1981) described a form of I. gausapata with lemon-yellow lamellae. It might well belong to I. flocculosa var. crocifolia.,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 163-165",,
flocculosa var. ferruginea (Bon) Kuyper,Leiospora,Subamygdaliform,Subconical,[8-10],[4.5-5.5],[1.7-1.9],Smooth,Claviform,[26-31],[8-10],[4-4],Yes,Sublageniform | Fusiform | Utriform,n/a,n/a,Yes | No,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Sublageniform | Fusiform | Utriform,[54-78],[14-21],Yes | No,[1-1.5],n/a,Yes,Sublageniform | Fusiform | Utriform,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Oak | Pine,[10-25],[10-25],Subbulbous,n/a,n/a,Spermatic,Inocybe,,,"The arrow was introduced by Kuyper & Vuure (in Persoonia 12: 448. 1985) in order to bring Art. 72. Note 1 of the I.C.B.N. in concurrence with Art. 46. 2) Although these varieties look strikingly different in their macroscopical characters, they are almost cpmpletely identical under the microscope. As there is only one character difference between these three taxa, they are given here the rank of variety. The holotypus of I. pluteoides Hoehn. (Austria, Niederoesterreich, Wienerwald, Pressbaum, 17.X.1906, FH) represents an albino variant of this species. As explained on p. 9, I do not want to confer taxanomic value upon these albinistic variants. This albino variant has also been found in the Netherlands (Ijsselmeerpolders, Oost-Flevoland, Revebos, 6.X.1981, C. Bas 7800). Both var. flocculosa and var. crocifolia were found at this locality.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 160",n/a,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 165",,
flocculosa var. flocculosa Sacc.,Leiospora,Subamygdaliform,Subconical,[7.5-10.5],[4.5-6],[1.5-2],Smooth,Claviform,[26-34],[8-10],[4-4],Yes,Sublageniform | Lageniform | Subfusiform | Subutriform,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Sublageniform | Lageniform | Subfusiform | Subutriform,[46-87],[12-22],Yes,[3-3.5],n/a,Yes,Sublageniform | Lageniform | Subfusiform | Subutriform,n/a,n/a,Yes,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,n/a,Calcareous soil,Conifers |Frondose,[7-58],[7-58],Subbulbous,n/a,n/a,Spermatic | Acidulous,Inocybe,,,"The arrow was introduced by Kuyper & Vuure (in Persoonia 12: 448. 1985) in order to bring Art. 72. Note 1 of the I.C.B.N. in concurrence with Art. 46. 2) Although these varieties look strikingly different in their macroscopical characters, they are almost cpmpletely identical under the microscope. As there is only one character difference between these three taxa, they are given here the rank of variety. The holotypus of I. pluteoides Hoehn. (Austria, Niederoesterreich, Wienerwald, Pressbaum, 17.X.1906, FH) represents an albino variant of this species. As explained on p. 9, I do not want to confer taxanomic value upon these albinistic variants. This albino variant has also been found in the Netherlands (Ijsselmeerpolders, Oost-Flevoland, Revebos, 6.X.1981, C. Bas 7800). Both var. flocculosa and var. crocifolia were found at this locality.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 160","1) Inocybe flocculosa is a rather variable species and several mycologists have tried to arrive at a satisfactory taxonomy of this complex. Stangl & Veselsky (in Cerka Mycol. 31 : 15-27, 1977) asserted that 5 different species could be recognised. These species were said to differ in spore-form (length/breadth-ratio) and ecological preference. However, my observation failed to confirm their results as both characters were found to be far more variable and without correlation. For that reason their taxonomy of this complex is not accepted here. In a previous publication (in Persoonia 12 : 385. 1985) I considered I. dentifera to represent an autonomous species. However, after the completion of the manuscript, more material came to my attention, and these additional collections showed that the appendiculate-dentate pileal margin was overrated as a taxonomic criterion. For that reason I now reduce I. dentifera in the synonymy of I. flocculosa. 2) Slender forms with yellowish tinges in the pileus often resemble I. auricoma (Batsch) J. Lange, but can be separated on account of their somewhat larger, distinctly lageniform pleurocystidia. The pileus of I. flocculosa is somewhat more squamulose too. 3) A variant with a well-developed velipellis has been described under the misapplied name I. abjecta (P. Karst.) Sacc., e.g. by Lange (Fl. Agar. Dan. 3 : 73. 1938) and Kuehner (in Bull. Soc. Nat. Oyonnax 9 (Suppl.) : 79. 1955). Such variants also possess somewhat smaller spores and cystidia than typical var. flocculosa. As some overlap in the critical characters can be observed, such variants are not given independent status for the time being. However, more material might indicate that they are better recognised as an autonomous form.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 159-163",,
